ФИО,Тип,Возраст,Пол,Знак зодиака,Партия,Образование,Работа,Должность,Судимость,Задекларированный доход,Сумма на банковских счетах
"Шаккум Мартин Люцианович",one_mandate,65,Мужской,Дева,Единая Россия,"Всесоюзный заочный инженерно-строительный институт, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по земельным отношениям и строительству","",0,0
"Антонова Лидия Николаевна",one_mandate,66,Женский,Телец,Единая Россия,"Московский областной педагогический институт им. Н.К. Крупской, 1973","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации Федерального Собрания Российской Федерации от Московской области - представитель от законодательного (представительного) органа государственной власти Московской области, член Комитета Совета Федерации по науке, образованию и культуре","",0,0
"Пушкина Оксана Викторовна",one_mandate,53,Женский,Телец,Единая Россия,"Ленинградский ордена Ленина и ордена Трудового Красного Знамени государственный университет имени А.А. Жданова, 1985","государственный орган Московской области 'Уполномоченный по правам человека в Московской области и его аппарат'","Уполномоченный по правам ребенка в Московской области","",0,0
"Кабанова Валентина Викторовна",one_mandate,65,Женский,Весы,Единая Россия,"Саратовский экономический институт, 1973","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по Регламенту и организации работы Государственной Думы","",0,0
"Фетисов Вячеслав Александрович",one_mandate,58,Мужской,Овен,Единая Россия,"Военный дважды Краснознаменный институт физической культуры, 1983","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации Федерального Собрания Российской Федерации от Приморского края - представитель от законодательного (представительного) органа государственной власти Приморского края, первый заместитель председателя Комитета Совета Федерации по социальной политике","",0,0
"Пахомов Сергей Александрович",one_mandate,41,Мужской,Лев,Единая Россия,"Московская финансово-юридическая академия, 2003Федеральное государственное образовательное учреждение высшего профессионального образования 'Северо-Западная академия государственной службы', 2008","Администрация Сергиево-Посадского муниципального района Московской области","Глава муниципального образования 'Сергиево-Посадский муниципальный район Московской области'","",0,0
"Олейников Юрий Павлович",one_mandate,65,Мужской,Рак,Единая Россия,"Московский государственный университет им. М.В. Ломоносова, 1978","Администрация Губернатора Московской области","заместитель Председателя Правительста Московской области","",0,0
"Веллер Алексей Борисович",one_mandate,50,Мужской,Козерог,Единая Россия,"Московский ордена Трудового Красного Знамени инженерно-строительный институт им. В. В. Куйбышева, 1987","Совет депутатов города Мурманска","глава муниципального образования город Мурманск","",0,0
"Панов Владимир Александрович",one_mandate,41,Мужской,Весы,Единая Россия,"Нижегородский государственный университет им. Н.И. Лобачевского, 1997","Закрытое акционерное общество 'Кофебук'","исполнительный директор","",0,0
"Москвин Денис Павлович",one_mandate,38,Мужской,Лев,Единая Россия,"Нижегородский государственный технический университет, 1999","федеральное государственное автономное образовательное учреждение высшего образования 'Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского'","проректор","",0,0
"Назарова Наталья Васильевна",one_mandate,63,Женский,Козерог,Единая Россия,"Красноярский политехнический институт, 1976","ООО 'ЕвроСибЭнерго - распределенная генерация', филиал ООО 'ЕвроСибЭнерго - распределенная генерация' 'Нижегородский'","директор филиала","",0,0
"Булавинов Вадим Евгеньевич",one_mandate,53,Мужской,Рыбы,Единая Россия,"федеральное государственное бюджетное образовательное учреждение высшего образования 'Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)' (на момент окончания - Всесоюзный юридический заочный институт), 1990","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",4735560.13,321259871.81
"Кавинов Артем Александрович",one_mandate,47,Мужской,Дева,Единая Россия,"Волго-Вятская академия государственной службы, 1996","министерство социальной политики Нижегородской области","министр","",0,0
"Коровников Александр Венидиктович",one_mandate,61,Мужской,Телец,Единая Россия,"Высшее политическое училище МВД СССР, 1976Военно-политическая орденов Ленина и Октябрьской Революции Краснознаменная академия имени В.И.Ленина, 1986","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации Федерального Собрания Российской Федерации от Новгородской области - представитель от исполнительного органа государственной власти Новгородской области, член Комитета Совета Федерации по Регламенту и организации парламентской деятельности","",0,0
"Каличенко Андрей Владимирович",one_mandate,41,Мужской,Водолей,Единая Россия,"Сибирская государственная академия путей сообщения, 1997","ООО 'Энергомонтаж'","первый заместитель генерального директора","",0,0
"Кудрявцев Максим Георгиевич",one_mandate,41,Мужской,Дева,Единая Россия,"Новосибирский государственный технический университет, 1998","ПАО 'Ростелеком'","Вице-Президент","",0,0
"Карелин Александр Александрович",one_mandate,49,Мужской,Дева,Единая Россия,"Омский государственный институт физической культуры, 1991","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по международным делам","",0,0
"Игнатов Виктор Александрович",one_mandate,48,Мужской,Весы,Единая Россия,"Новосибирский электротехнический институт связи, 1993","мэрия города Новосибирска","первый заместитель мэра города Новосибирска","",0,0
"Шрейдер Виктор Филиппович",one_mandate,64,Мужской,Рыбы,Единая Россия,"Сибирский ордена Трудового Красного знамени автомобильно-дорожный институт им В.В. Куйбышева, 1982Академия народного хозяйства при Правительстве Российской Федерации, 1998","Государственная Дума Федерального Собрания Российской Федерации","депутат, член комитета Государственной Думы по федеративному устройству и вопросам местного самоуправления, член Всероссийской политической партии «ЕДИНАЯ РОССИЯ»","",0,0
"Голушко Андрей Иванович",one_mandate,52,Мужской,Стрелец,Единая Россия,"Омский государственный университет, 1994","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации Федерального Собрания Российской Федерации от Омской области - представитель от законодательного (представительного) органа государственной власти Омской области, член Комитета Совета Федерации по экономической политике","",0,0
"Мищеряков Юрий Николаевич",one_mandate,71,Мужской,Козерог,Единая Россия,"Оренбургский политехнический институт, 1971Академия народного хозяйства при Совете Министров СССР, 1989","","пенсионер","",0,0
"Сухарев Игорь Николаевич",one_mandate,48,Мужской,Скорпион,Единая Россия,"Государственное образовательное учреждение 'Московский государственный университет экономики, статистики и информатики' (МЭСИ), 2005","Законодательное Собрание Оренбургской области","депутат, заместитель председателя Законодательного Собрания Оренбургской области","",0,0
"Заварзин Виктор Михайлович",one_mandate,68,Мужской,Стрелец,Единая Россия,"Орджоникидзевское высшее общевойсковое командное училище, 1970Военная ордена Ленина, КрасноЗнаменная ордена Суворова академия Генерального штаба, 1992","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комиссии Государственной Думы по вопросам депутатской этики, член Комитета Государственной Думы по обороне","",0,0
"Ковалев Николай Дмитриевич",one_mandate,67,Мужской,Лев,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Московский государственный институт электроники и математики (технический университет)' (Московский институт электронного машиностроения), 1972","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по безопасности и противодействию коррупции, председатель Комиссии Государственной Думы по контролю за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы","",0,0
"Есяков Сергей Яковлевич",one_mandate,53,Мужской,Лев,Единая Россия,"Ленинградский ордена Трудового Красного Знамени финансово-экономический институт имени Н.А.Вознесенского, 1985","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по энергетике","",0,0
"Козловский Александр Николаевич",one_mandate,43,Мужской,Телец,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Московский государственный университет экономики, статистики, и информатики (МЭСИ)', 2009","Закрытое акционерное общество 'Завод электротехнического оборудования'","генеральный директор","",0,0
"Тутова Лариса Николаевна",one_mandate,47,Женский,Весы,Единая Россия,"Ростовский-на-Дону государственный педагогический институт, 1991","Законодательное Собрание Ростовской области","депутат, председатель комитета Законодательного Собрания Ростовской области по молодежной политике, физической культуре, спорту и туризму","",0,0
"Кобзев Юрий Викторович",one_mandate,44,Мужской,Стрелец,Единая Россия,"Ростовский государственный медицинский университет, 1997","Муниципальное бюджетное учреждение здравоохранения 'Городская больница скорой медицинской помощи'","главный врач","",0,0
"Чернышев Михаил Анатольевич",one_mandate,66,Мужской,Рыбы,Единая Россия,"Ростовский-на-Дону институт сельскохозяйственного машиностроения, 1972","Правительство Ростовской области","заместитель Губернатора Ростовской области","",0,0
"Шолохов Александр Михайлович",one_mandate,54,Мужской,Водолей,Единая Россия,"Ростовский государственный университет им. М.А. Суслова, 1984Ростовская государственная экономическая академия, 1999","Федеральное государственное бюджетное учреждение культуры 'Государственный музей-заповедник М.А. Шолохова'","директор","",3050062.89,1716146.17
"Щаблыкин Максим Иванович",one_mandate,46,Мужской,Рак,Единая Россия,"Ростовский-на-Дону ордена Трудового Красного Знамени институт сельскохозяйственного машиностроения, 1992","Законодательное Собрание Ростовской области","председатель комитета по местному самоуправлению, административно-территориальному устройству и делам казачества","",0,0
"Дерябкин Виктор Ефимович",one_mandate,62,Мужской,Телец,Единая Россия,"Всесоюзный заочный институт пищевой промышленности, 1981","Законодательное Собрание Ростовской области","депутат, Председатель Законодательного Собрания Ростовской области","",0,0
"Красов Андрей Леонидович",one_mandate,49,Мужской,Водолей,Единая Россия,"Рязанское высшее Воздушно-десантное командное дважды Краснознаменное училище имени Ленинского Комсомола, 1988Общевойсковая академия Вооруженных Сил Российской Федерации, 2004Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2015","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по обороне","",0,0
"Митина Елена Анатольевна",one_mandate,50,Женский,Лев,Единая Россия,"Рязанский радиотехнический институт, 1988ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ 'РЯЗАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ С.А. ЕСЕНИНА' г. Рязань, 2013Рязанский государственный педагогический университет имени С.А. Есенина, 2003","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по вопросам семьи, женщин и детей","",0,0
"Колесникова Надежда Борисовна",one_mandate,56,Женский,Стрелец,Единая Россия,"Куйбышевский педагогический институт им. В.В.Куйбышева, 1983","Министерство образования и науки Самарской области","заместитель министра (высшая должность гражданской службы Самарской области категории 'руководители', замещаемая на ограниченный срок полномочий Губернатора Самарской области) образования и науки Самарской области - руководитель департамента общего образования и проектно-аналитической деятельности","",0,0
"Бокк Владимир Владимирович",one_mandate,63,Мужской,Близнец,Единая Россия,"Куйбышевский политехнический институт имени В.В.Куйбышева, 1980","ОАО 'АВТОВАЗ', служба вице-президента по персоналу и социальной политике","советник вице-президента","",0,0
"Казаков Виктор Алексеевич",one_mandate,67,Мужской,Овен,Единая Россия,"Куйбышевский политехнический институт имени В.В. Куйбышева, 1972","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по федеративному устройству и вопросам местного самоуправления","",0,0
"Серпер Евгений Александрович",one_mandate,36,Мужской,Лев,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Самарский государственный экономический университет', 2010","Общество с ограниченной ответственностью Инвестиционная промышленная компания 'Константа Капитал'","председатель правления","",0,0
"Станкевич Игорь Валентинович",one_mandate,58,Мужской,Дева,Единая Россия,"Самарская государственная экономическая академия, 2001","","пенсионер","",0,0
"Грищенко Олег Васильевич",one_mandate,50,Мужской,Лев,Единая Россия,"Московский государственный университет коммерции, 1998Государственное образовательное учреждение высшего профессионального образования 'Саратовская государственная академия права', 2007","Саратовская городская Дума","депутат, глава муниципального образования 'Город Саратов'","",0,0
"Панков Николай Васильевич",one_mandate,51,Мужской,Козерог,Единая Россия,"Саратовский ордена 'Знак Почета' институт механизации с/х им. М.И.Калинина, 1992Федеральное государственное образовательное учреждение высшего профессионального образования 'Российская академия государственной службы при Президенте Российской Федерации', 2010","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по аграрным вопросам","",0,0
"Исаев Михаил Александрович",one_mandate,42,Мужской,Водолей,Единая Россия,"Московский государственный университет коммерции, 1999Государственное образовательное учреждение высшего профессионального образования 'Саратовская государственная академия права', 2010","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации Федерального Собрания Российской Федерации от Саратовской области - представитель от законодательного (представительного) органа государственной власти Саратовской области, член Комитета Совета Федерации по бюджету и финансовым рынкам","",0,0
"Максимов Василий Юрьевич",one_mandate,62,Мужской,Водолей,Единая Россия,"Саратовский государственный медицинский институт, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по охране здоровья","",0,0
"Карлов Георгий Александрович",one_mandate,45,Мужской,Козерог,Единая Россия,"Южно-Сахалинский государственный педагогический институт, 1994Российская академия государственной службы при Президенте Российской Федерации, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета по региональной политике и проблемам Севера и Дальнего Востока","",0,0
"Альшевских Андрей Геннадьевич",one_mandate,44,Мужской,Телец,Единая Россия,"Академия труда и социальных отношений, 2005","Законодательное Собрание Свердловской области","депутат, председатель мандатной комиссии Законодательного Собрания Свердловской области","",0,0
"Ковпак Лев Игоревич",one_mandate,38,Мужской,Весы,Единая Россия,"Уральский государственный экономический университет, 2002","Законодательное Собрание Свердловской области","депутат, заместитель председателя комитета Законодательного Собрания Свердловской области по бюджету, финансам и налогам","",0,0
"Чепиков Сергей Владимирович",one_mandate,49,Мужской,Водолей,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Уральский государственный технический университет - УПИ имени первого Президента России Б.Н.Ельцина', 2003","Законодательное Собрание Свердловской области","депутат, заместитель председателя комитета Законодательного Собрания Свердловской области по социальной политике","",0,0
"Балыбердин Алексей Владимирович",one_mandate,38,Мужской,Телец,Единая Россия,"Уральский государственный технический университет, 2000Федеральное государственное образовательное учреждение высшего профессионального образования 'Уральская академия государственной службы', 2009","Общественная организация Первичная профсоюзная организация 'Уралвагонзавод'","председатель комиссии по охране труда","",0,0
"Иванов Максим Анатольевич",one_mandate,49,Мужской,Стрелец,Единая Россия,"Новосибирское высшее военно-политическое общевойсковое училище имени 60-летия Великого Октября, 1989Государственное образовательное учреждение высшего профессионального образования 'Уральский государственный университет им. А.М. Горького', 2006","Законодательное Собрание Свердловской области","депутат, председатель комиссии по Регламенту Законодательного Собрания Свердловской области","",0,0
"Муцоев Зелимхан Аликоевич",one_mandate,57,Мужской,Весы,Единая Россия,"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Волгоградский государственный архитектурно-строительный университет' (на год окончания - Волгоградский инженерно-строительный институт), 1989","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","",0,0
"Бидонько Сергей Юрьевич",one_mandate,41,Мужской,Лев,Единая Россия,"Уральский государственный технический университет, 2000Краснотурьинский индустриальный техникум, 1993","Министерство строительства и развития инфраструктуры Свердловской области","Министр строительства и развития инфраструктуры Свердловской области, Член Правительства Свердловской области","",0,0
"Неверов Сергей Иванович",one_mandate,55,Мужской,Стрелец,Единая Россия,"Сибирский ордена Трудового Красного Знамени металлургический институт им. С.Орджоникидзе, 1989Академия труда и социальных отношений, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель Председателя Государственной Думы Федерального Собрания Российской Федерации, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",4752537.93,743461.36
"Окунева Ольга Владимировна",one_mandate,58,Женский,Стрелец,Единая Россия,"Московская ордена Ленина и ордена Трудового Красного Знамени сельскохозяйственная академия им. К.А. Тимирязева, 1980","Администрация Смоленской области","заместитель Губернатора Смоленской области","",0,0
"Поляков Александр Алексеевич",one_mandate,47,Мужской,Водолей,Единая Россия,"Плодоовощной институт им. И.В. Мичурина, 1993","Закрытое акционерное общество 'Сабуровский комбинат хлебопродуктов'","генеральный директор","",0,0
"Жупиков Александр Владимирович",one_mandate,38,Мужской,Телец,Единая Россия,"государственное образовательное учреждение высшего профессионального образования 'Российский государственный социальный университет', 2010","Общество с ограниченной ответственностью 'Жупиков'","генеральный директор","",0,0
"Максимова Светлана Викторовна",one_mandate,55,Женский,Рак,Единая Россия,"Новоузенский зооветтехникум, 1980","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по аграрным вопросам","",0,0
"Васильев Владимир Абдуалиевич",one_mandate,67,Мужской,Лев,Единая Россия,"Всесоюзный юридический заочный институт, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель Председателя, член Комитета по безопасности и противодействию коррупции","",5678859.25,8067716.87
"Соломатина Татьяна Васильевна",one_mandate,60,Женский,Телец,Единая Россия,"Томский ордена Трудового Красного Знамени медицинский институт, 1979","Общество с ограниченной ответственностью 'Здоровье'","директор","",0,0
"Дзюба Виктор Викторович",one_mandate,39,Мужской,Лев,Единая Россия,"Тульский государственный педагогический университет имени Л.Н. Толстого, 1999","Общество с ограниченной ответственностью Производственное объединение 'Мехмаш'","Советник директора Производственного объединения 'Мехмаш'","",0,0
"Афонский Владимир Игорьевич",one_mandate,50,Мужской,Весы,Единая Россия,"Тульский государственный педагогический институт имени Л.Н. Толстого, 1989Государственное образовательное учреждение высшего профессионального образования ВСЕРОССИЙСКИЙ ЗАОЧНЫЙ ФИНАНСОВО-ЭКОНОМИЧЕСКИЙ ИНСТИТУТ, 2006Федеральное государственное образовательное учреждение высшего профессионального образования 'Российская академия государственной службы при Президенте Российской Федерации', 2010","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета по вопросам собственности","",0,0
"Валеев Эрнест Абдулович",one_mandate,66,Мужской,Овен,Единая Россия,"Свердловский юридический институт, 1974","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по безопасности и противодействию коррупции","",0,0
"Квитка Иван Иванович",one_mandate,49,Мужской,Телец,Единая Россия,"Тюменский индустриальный институт, 1992Тюменский государственный университет, 1995","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по международным делам","",0,0
"Третьяк Владислав Александрович",one_mandate,64,Мужской,Телец,Единая Россия,"Смоленский государственный институт физической культуры, 1976Военно-политическая орденов Ленина и Октябрьской Революции Краснознамённая академия имени В.И. Ленина, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по физической культуре, спорту и делам молодежи","",0,0
"Барышев Андрей Викторович",one_mandate,50,Мужской,Водолей,Единая Россия,"Челябинский государственный институт физической культуры, 1991Уральская академия государственной службы Челябинский институт (филиал), 2004","ООО 'Предприятие 'ИНФО-ТВ'","генеральный директор","",0,0
"Бурматов Владимир Владимирович",one_mandate,35,Мужской,Лев,Единая Россия,"Челябинский государственный университет, 2003","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по образованию","",0,0
"Литовченко Анатолий Григорьевич",one_mandate,56,Мужской,Козерог,Единая Россия,"Челябинский орд.Трудового Красного Знамени ин-т механиз. и электр. с.х., 1982","Администрация Увельского муниципального района","Глава района","",0,0
"Бахметьев Виталий Викторович",one_mandate,55,Мужской,Лев,Единая Россия,"Магнитогорский горно-металлургический институт им. Г. И. Носова, 1984","администрация города Магнитогорска","Глава города Магнитогорска","",0,0
"Колесников Олег Алексеевич",one_mandate,48,Мужской,Дева,Единая Россия,"Челябинский государственный технический университет, 1992","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по безопасности и противодействию коррупции","",0,0
"Грибов Александр Сергеевич",one_mandate,30,Мужской,Близнец,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Ярославский государственный университет им. П.Г. Демидова', 2008Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2012Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации, 2012","Общественная палата Ярославской области","председатель","",0,0
"Тетерин Иван Михайлович",one_mandate,64,Мужской,Козерог,Единая Россия,"Ульяновское высшее военное командное училище связи им. Г.К. Орджоникидзе, 1973","Федеральное ГБОУ высшего образования 'Академия Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий'","президент","",0,0
"Лысаков Вячеслав Иванович",one_mandate,63,Мужской,Скорпион,Единая Россия,"Московский областной государственный институт физической культуры, 1981Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2015","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по конституционному законодательству и государственному строительству","",0,0
